"id","expname","subject","ip","condnum","choice","submitted","event","roword","colord","evttype","boxname","boxin","boxtime","delay","counter","submit","test","optionOrder","attributeOrder","jsonfile","set","relcount","maxcount","f_box2","f_box1","f_box3","f_box4","t_box2","t_box1","t_box3","t_box4"
"17","27","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:49:55","mouseout","","","0_0","box2","2831","2770","0","1","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","0.03125","32","1","0","0","0","2770","0","0","0"
"17","27","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:49:55","mouseout","","","0_0","box1","5642","1750","0","2","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","0.0625","32","0","1","0","0","0","1750","0","0"
"17","27","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:49:55","mouseout","","","0_0","box3","7683","500","0","3","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","0.09375","32","0","0","1","0","0","0","500","0"
"17","27","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:49:55","mouseout","","","0_0","box4","8208","675","0","4","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","0.125","32","0","0","0","1","0","0","0","675"
"17","27","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:49:55","mouseout","","","0_0","box2","8917","108","0","5","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","0.15625","32","1","0","0","0","108","0","0","0"
"17","27","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:49:55","mouseout","","","0_0","box2","9299","625","0","6","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","0.1875","32","1","0","0","0","625","0","0","0"
"17","27","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:49:55","mouseout","","","0_0","box1","9949","1708","0","7","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","0.21875","32","0","1","0","0","0","1708","0","0"
"17","27","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:49:55","mouseout","","","0_0","box2","11857","3432","0","8","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","0.25","32","1","0","0","0","3432","0","0","0"
"17","27","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:49:55","mouseout","","","0_0","box4","15414","1275","0","9","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","0.28125","32","0","0","0","1","0","0","0","1275"
"17","27","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:49:55","mouseout","","","0_0","box3","16731","1116","0","10","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","0.3125","32","0","0","1","0","0","0","1116","0"
"17","27","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:49:55","mouseout","","","0_0","box4","17864","7289","0","11","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","0.34375","32","0","0","0","1","0","0","0","7289"
"17","27","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:49:55","mouseout","","","0_0","box2","25229","1091","0","12","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","0.375","32","1","0","0","0","1091","0","0","0"
"17","27","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:49:55","mouseout","","","0_0","box1","26886","3049","0","13","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","0.40625","32","0","1","0","0","0","3049","0","0"
"17","27","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:49:55","mouseout","","","0_0","box2","30185","583","0","14","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","0.4375","32","1","0","0","0","583","0","0","0"
"17","27","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:49:55","mouseout","","","0_0","box3","30877","466","0","15","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","0.46875","32","0","0","1","0","0","0","466","0"
"17","27","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:49:55","mouseout","","","0_0","box4","31376","709","0","16","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","0.5","32","0","0","0","1","0","0","0","709"
"17","27","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:49:55","mouseout","","","0_0","box2","32135","391","0","17","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","0.53125","32","1","0","0","0","391","0","0","0"
"17","27","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:49:55","mouseout","","","0_0","box1","32534","1117","0","18","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","0.5625","32","0","1","0","0","0","1117","0","0"
"17","27","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:49:55","mouseout","","","0_0","box3","33701","12415","0","19","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","0.59375","32","0","0","1","0","0","0","12415","0"
"17","27","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:49:55","mouseout","","","0_0","box4","46139","950","0","20","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","0.625","32","0","0","0","1","0","0","0","950"
"17","27","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:49:55","mouseout","","","0_0","box4","47798","382","0","21","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","0.65625","32","0","0","0","1","0","0","0","382"
"17","27","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:49:55","mouseout","","","0_0","box3","48213","475","0","22","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","0.6875","32","0","0","1","0","0","0","475","0"
"17","27","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:49:55","mouseout","","","0_0","box1","49231","267","0","23","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","0.71875","32","0","1","0","0","0","267","0","0"
"17","27","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:49:55","mouseout","","","0_0","box2","49521","617","0","24","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","0.75","32","1","0","0","0","617","0","0","0"
"17","27","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:49:55","mouseout","","","0_0","box1","50154","425","0","25","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","0.78125","32","0","1","0","0","0","425","0","0"
