"id","expname","subject","ip","condnum","choice","submitted","event","name","value","time","submit","test","optionOrder","attributeOrder","jsonfile","set"
"19","1","B0fCn5WB3XbJ0g","211.248.192.15","-1","A","2022-06-14 10:50:21","onload","body","body","36","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet"
"19","1","B0fCn5WB3XbJ0g","211.248.192.15","-1","A","2022-06-14 10:50:21","mouseover","box1","d=0","1226","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet"
"19","1","B0fCn5WB3XbJ0g","211.248.192.15","-1","A","2022-06-14 10:50:21","mouseout","box1","","3575","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet"
"19","1","B0fCn5WB3XbJ0g","211.248.192.15","-1","A","2022-06-14 10:50:21","mouseover","box2","d=0","3600","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet"
"19","1","B0fCn5WB3XbJ0g","211.248.192.15","-1","A","2022-06-14 10:50:21","mouseout","box2","","4900","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet"
"19","1","B0fCn5WB3XbJ0g","211.248.192.15","-1","A","2022-06-14 10:50:21","mouseover","box1","d=0","5058","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet"
"19","1","B0fCn5WB3XbJ0g","211.248.192.15","-1","A","2022-06-14 10:50:21","mouseout","box1","","5075","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet"
"19","1","B0fCn5WB3XbJ0g","211.248.192.15","-1","A","2022-06-14 10:50:21","mouseover","box1","d=0","5083","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet"
"19","1","B0fCn5WB3XbJ0g","211.248.192.15","-1","A","2022-06-14 10:50:21","mouseout","box1","","5084","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet"
"19","1","B0fCn5WB3XbJ0g","211.248.192.15","-1","A","2022-06-14 10:50:21","mouseover","box1","d=0","5091","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet"
"19","1","B0fCn5WB3XbJ0g","211.248.192.15","-1","A","2022-06-14 10:50:21","mouseout","box1","","5092","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet"
"19","1","B0fCn5WB3XbJ0g","211.248.192.15","-1","A","2022-06-14 10:50:21","mouseover","box1","d=0","5100","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet"
"19","1","B0fCn5WB3XbJ0g","211.248.192.15","-1","A","2022-06-14 10:50:21","mouseout","box1","","5101","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet"
"19","1","B0fCn5WB3XbJ0g","211.248.192.15","-1","A","2022-06-14 10:50:21","mouseover","box3","d=0","5166","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet"
"19","1","B0fCn5WB3XbJ0g","211.248.192.15","-1","A","2022-06-14 10:50:21","mouseout","box3","","5316","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet"
"19","1","B0fCn5WB3XbJ0g","211.248.192.15","-1","A","2022-06-14 10:50:21","mouseover","box3","d=0","5325","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet"
"19","1","B0fCn5WB3XbJ0g","211.248.192.15","-1","A","2022-06-14 10:50:21","mouseout","box3","","5325","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet"
"19","1","B0fCn5WB3XbJ0g","211.248.192.15","-1","A","2022-06-14 10:50:21","mouseover","box3","d=0","5333","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet"
"19","1","B0fCn5WB3XbJ0g","211.248.192.15","-1","A","2022-06-14 10:50:21","mouseout","box3","","5334","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet"
"19","1","B0fCn5WB3XbJ0g","211.248.192.15","-1","A","2022-06-14 10:50:21","mouseover","box3","d=0","5341","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet"
"19","1","B0fCn5WB3XbJ0g","211.248.192.15","-1","A","2022-06-14 10:50:21","mouseout","box3","","5342","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet"
"19","1","B0fCn5WB3XbJ0g","211.248.192.15","-1","A","2022-06-14 10:50:21","mouseover","box3","d=0","5350","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet"
"19","1","B0fCn5WB3XbJ0g","211.248.192.15","-1","A","2022-06-14 10:50:21","mouseout","box3","","5352","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet"
"19","1","B0fCn5WB3XbJ0g","211.248.192.15","-1","A","2022-06-14 10:50:21","mouseover","box3","d=0","5358","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet"
"19","1","B0fCn5WB3XbJ0g","211.248.192.15","-1","A","2022-06-14 10:50:21","mouseout","box3","","5359","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet"
"19","1","B0fCn5WB3XbJ0g","211.248.192.15","-1","A","2022-06-14 10:50:21","mouseover","box3","d=0","5392","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet"
"19","1","B0fCn5WB3XbJ0g","211.248.192.15","-1","A","2022-06-14 10:50:21","mouseout","box3","","5393","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet"
"19","1","B0fCn5WB3XbJ0g","211.248.192.15","-1","A","2022-06-14 10:50:21","mouseover","box3","d=0","5427","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet"
"19","1","B0fCn5WB3XbJ0g","211.248.192.15","-1","A","2022-06-14 10:50:21","mouseout","box3","","5428","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet"
"19","1","B0fCn5WB3XbJ0g","211.248.192.15","-1","A","2022-06-14 10:50:21","mouseover","box3","d=0","5540","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet"
