"id","expname","subject","ip","condnum","choice","submitted","roword","colord","div","counter","submit","test","optionOrder","attributeOrder","jsonfile","set","maxcount","f_box2","f_box1","f_box4","f_box3","t_box2","t_box1","t_box4","t_box3"
"14","40","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:48:07","","","1","7","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","7","2","2","2","1","2291","2424","894","592"
"43","40","W7xMZFsc8bgeoW","128.134.253.92","-1","B","2022-06-14 13:26:41","","","1","5","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","5","1","1","2","1","635","438","901","563"
"101","40","aw1XvvDjL0XznE","80.114.132.251","-1","B","2022-06-14 16:04:14","","","1","4","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","4","1","1","1","1","1166","551","766","434"
"141","40","NEpzOgnmyST18v","1.209.175.50","-1","B","2022-06-14 20:54:21","","","1","11","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","11","4","4","1","2","6264","2520","414","1000"
"178","40","phkg0GCvX8ceBC","62.77.201.30","-1","A","2022-06-15 07:21:09","","","1","9","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","9","2","4","1","2","916","1432","367","600"
"218","40","k2ZwEjXuEyk0pl","31.46.254.4","-1","B","2022-06-16 13:52:37","","","1","5","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","5","1","1","2","1","233","416","550","251"
"247","40","DxWeF9rqIbTubH","82.195.190.210","-1","B","2022-06-16 14:12:08","","","1","4","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","4","1","1","1","1","766","1732","600","694"
"319","40","rI9OVxRlTajmDS","149.29.29.202","-1","B","2022-06-17 07:57:55","","","1","4","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","4","1","2","1","0","565","649","151","0"
"329","40","IE2X2rUMjLbOp5","84.1.28.121","-1","B","2022-06-17 12:37:30","","","1","5","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","5","1","2","0","2","1016","3132","0","982"
"391","40","bk32rU5iOGuHWV","84.1.28.121","-1","B","2022-06-17 13:06:06","","","1","3","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","3","1","1","1","0","592","583","131","0"
"421","40","e28uMUSesm0oPO","109.158.97.191","-1","A","2022-06-17 13:59:47","","","1","4","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","4","1","1","1","1","376","489","327","344"
"458","40","0PpX0R5S2b3GB5","208.218.225.177","-1","B","2022-06-17 15:27:16","","","1","5","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","5","2","1","1","1","2145","1966","1256","306"
"468","40","fqX2QjgCkRvgzm","62.165.198.141","-1","A","2022-06-17 17:28:52","","","1","5","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","5","1","2","1","1","598","1479","560","660"
"521","40","QNJzRFTETtYeje","90.146.163.221","-1","A","2022-06-18 05:34:50","","","1","2","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","2","0","0","1","1","0","0","369","305"
"537","40","vrZ7Ymei1XGEG4","201.229.97.78","-1","A","2022-06-18 10:25:41","","","1","14","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","14","5","5","2","2","3740","4505","803","585"
"589","40","DCV8554pwCJUrT","87.211.132.161","-1","A","2022-06-18 10:29:37","","","1","12","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","12","2","4","2","4","1599","1799","767","1983"
"631","40","YpuFRM3EsA9Tnh","80.114.132.224","-1","B","2022-06-18 14:50:55","","","1","5","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","5","1","1","2","1","483","433","666","766"
