"id","expname","subject","ip","condnum","choice","submitted","roword","colord","div","counter","submit","test","optionOrder","attributeOrder","jsonfile","set","maxcount","f_box1","f_box2","f_box4","f_box3","t_box1","t_box2","t_box4","t_box3"
"39","35","B0fCn5WB3XbJ0g","211.248.192.15","-1","A","2022-06-14 10:56:25","","","1","7","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","7","3","2","1","1","2375","1992","467","725"
"79","35","W7xMZFsc8bgeoW","128.134.253.92","-1","A","2022-06-14 13:32:22","","","1","4","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","4","1","1","1","1","261","327","202","193"
"80","35","aw1XvvDjL0XznE","80.114.132.251","-1","A","2022-06-14 16:00:29","","","1","12","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","12","4","5","1","2","2269","2916","617","867"
"139","35","NEpzOgnmyST18v","1.209.175.50","-1","A","2022-06-14 20:53:39","","","1","11","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","11","3","3","3","2","1718","2261","1298","1043"
"197","35","phkg0GCvX8ceBC","62.77.201.30","-1","A","2022-06-15 07:24:44","","","1","7","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","7","2","1","2","2","327","367","599","950"
"222","35","k2ZwEjXuEyk0pl","31.46.254.4","-1","B","2022-06-16 13:53:05","","","1","3","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","3","1","0","1","1","316","0","365","365"
"251","35","DxWeF9rqIbTubH","82.195.190.210","-1","B","2022-06-16 14:12:53","","","1","9","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","9","2","3","2","2","1401","1966","1301","1097"
"280","35","rI9OVxRlTajmDS","149.29.29.202","-1","A","2022-06-17 07:53:19","","","1","18","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","18","6","6","3","3","8255","7705","3739","5322"
"396","35","bk32rU5iOGuHWV","84.1.28.121","-1","B","2022-06-17 13:06:47","","","1","5","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","5","2","2","1","0","1283","950","399","0"
"406","35","e28uMUSesm0oPO","109.158.97.191","-1","A","2022-06-17 13:58:14","","","1","6","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","6","1","2","2","1","443","680","540","412"
