"id","expname","subject","ip","condnum","choice","submitted","roword","colord","div","counter","submit","test","optionOrder","attributeOrder","jsonfile","set","maxcount","f_box2","f_box1","f_box3","f_box4","t_box2","t_box1","t_box3","t_box4"
"15","14","B0fCn5WB3XbJ0g","211.248.192.15","-1","A","2022-06-14 10:48:35","","","1","18","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","18","6","6","3","3","5792","9904","1515","1275"
"67","14","W7xMZFsc8bgeoW","128.134.253.92","-1","A","2022-06-14 13:30:37","","","1","4","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","4","1","1","1","1","231","252","425","311"
"99","14","aw1XvvDjL0XznE","80.114.132.251","-1","A","2022-06-14 16:03:57","","","1","9","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","9","3","2","2","2","1692","1454","1168","565"
"142","14","NEpzOgnmyST18v","1.209.175.50","-1","B","2022-06-14 20:54:36","","","1","11","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","11","3","3","2","3","2670","1532","1126","1182"
"170","14","phkg0GCvX8ceBC","62.77.201.30","-1","A","2022-06-15 07:19:27","","","1","10","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","10","3","3","2","2","2031","1098","550","683"
"230","14","k2ZwEjXuEyk0pl","31.46.254.4","-1","B","2022-06-16 13:54:15","","","1","5","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","5","1","2","1","1","913","649","216","366"
"240","14","DxWeF9rqIbTubH","82.195.190.210","-1","B","2022-06-16 14:10:47","","","1","6","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","6","1","2","2","1","916","1604","993","865"
"312","14","rI9OVxRlTajmDS","149.29.29.202","-1","B","2022-06-17 07:57:14","","","1","3","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","3","1","1","1","0","400","566","384","0"
"333","14","IE2X2rUMjLbOp5","84.1.28.121","-1","B","2022-06-17 12:40:05","","","1","6","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","6","2","1","1","2","1097","898","231","1134"
"387","14","bk32rU5iOGuHWV","84.1.28.121","-1","B","2022-06-17 13:05:27","","","1","2","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","2","1","1","0","0","629","481","0","0"
"428","14","e28uMUSesm0oPO","109.158.97.191","-1","A","2022-06-17 14:00:24","","","1","4","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","4","1","1","1","1","111","310","359","441"
"473","14","fqX2QjgCkRvgzm","62.165.198.141","-1","A","2022-06-17 17:29:50","","","1","4","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","4","1","1","1","1","362","280","800","481"
"497","14","QNJzRFTETtYeje","90.146.163.221","-1","A","2022-06-18 05:30:17","","","1","6","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","6","1","2","2","1","478","1116","574","436"
"549","14","vrZ7Ymei1XGEG4","201.229.97.78","-1","A","2022-06-18 10:26:56","","","1","8","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","8","3","3","1","1","1018","982","581","372"
"552","14","DCV8554pwCJUrT","87.211.132.161","-1","A","2022-06-18 10:27:05","","","1","9","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","9","2","3","2","2","866","1216","683","933"
"642","14","YpuFRM3EsA9Tnh","80.114.132.224","-1","A","2022-06-18 14:52:06","","","1","4","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","4","1","1","1","1","301","934","700","1783"
"644","14","GHzsS5M4kn3qPb","5.38.195.169","-1","B","2022-06-18 15:33:53","","","1","10","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","10","4","3","1","2","3157","2433","697","1711"
"709","14","755Lpy02O94QoB","176.241.52.27","-1","A","2022-06-18 16:11:20","","","1","2","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","2","0","0","1","1","0","0","310","309"
"743","14","ggF7vx9onwmf0U","80.99.250.94","-1","A","2022-06-19 05:12:19","","","1","17","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","17","5","5","4","3","3201","2187","1023","1410"
"778","14","OrRCcXsKE1We3k","80.114.167.25","-1","B","2022-06-19 05:19:51","","","1","5","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","5","1","2","1","1","290","402","356","381"
"805","14","sh5aQtbGJHCnOp","80.114.167.180","-1","A","2022-06-19 06:09:45","","","1","9","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","9","3","3","1","2","1156","1258","521","644"
"826","14","YUbL3y8fjKvBq7","163.116.178.30","-1","A","2022-06-20 04:25:54","","","1","5","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","5","1","2","1","1","649","1437","458","479"
"874","14","lCKkPGBQXKgWlB","89.223.131.144","-1","A","2022-06-20 07:24:54","","","1","6","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","6","2","2","1","1","1955","1984","707","873"
"889","14","F2DHJDWKscjV7Y","147.161.169.84","-1","A","2022-06-20 07:26:02","","","1","4","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","4","1","1","1","1","450","417","648","468"
"970","14","5MLkC0tXMgK8o0","163.116.178.119","-1","A","2022-06-20 08:46:39","","","1","7","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","7","2","2","2","1","620","850","517","353"
"995","14","WsXGz7XlEYcxw7","193.225.54.2","-1","B","2022-06-20 11:02:22","","","1","11","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","11","4","3","1","3","1515","2379","632","1381"
"1026","14","19jHpDbOrHhK2E","176.63.28.243","-1","A","2022-06-20 13:39:09","","","1","13","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","13","3","5","2","3","2416","2650","967","1816"
"1102","14","iWl2lzunrIV01z","145.108.230.212","-1","A","2022-06-21 07:25:16","","","1","3","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","3","1","0","1","1","516","0","878","822"
"1128","14","QIU1BczDGxOpGR","89.205.131.27","-1","A","2022-06-21 07:26:51","","","1","4","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","4","1","1","1","1","457","712","647","615"
"1154","14","BAx0a97PQ40dev","146.50.212.25","-1","A","2022-06-21 10:34:47","","","1","14","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","14","5","3","2","4","2553","1438","686","1874"
"1192","14","ZrMHoYN0kwNjBR","77.111.112.170","-1","A","2022-06-21 12:47:28","","","1","4","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","4","1","1","1","1","684","631","952","467"
