"id","expname","subject","ip","condnum","choice","submitted","event","name","value","time","submit","test","optionOrder","attributeOrder","jsonfile","set"
"18","17","B0fCn5WB3XbJ0g","211.248.192.15","-1","A","2022-06-14 10:50:07","onload","body","body","34","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet"
"18","17","B0fCn5WB3XbJ0g","211.248.192.15","-1","A","2022-06-14 10:50:07","mouseover","box1","d=0","1499","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet"
"18","17","B0fCn5WB3XbJ0g","211.248.192.15","-1","A","2022-06-14 10:50:07","mouseout","box1","","2599","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet"
"18","17","B0fCn5WB3XbJ0g","211.248.192.15","-1","A","2022-06-14 10:50:07","mouseover","box2","d=0","2665","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet"
"18","17","B0fCn5WB3XbJ0g","211.248.192.15","-1","A","2022-06-14 10:50:07","mouseout","box2","","3548","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet"
"18","17","B0fCn5WB3XbJ0g","211.248.192.15","-1","A","2022-06-14 10:50:07","mouseover","box2","d=0","3557","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet"
"18","17","B0fCn5WB3XbJ0g","211.248.192.15","-1","A","2022-06-14 10:50:07","mouseout","box2","","3558","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet"
"18","17","B0fCn5WB3XbJ0g","211.248.192.15","-1","A","2022-06-14 10:50:07","mouseover","box2","d=0","3565","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet"
"18","17","B0fCn5WB3XbJ0g","211.248.192.15","-1","A","2022-06-14 10:50:07","mouseout","box2","","3566","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet"
"18","17","B0fCn5WB3XbJ0g","211.248.192.15","-1","A","2022-06-14 10:50:07","mouseover","box2","d=0","3573","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet"
"18","17","B0fCn5WB3XbJ0g","211.248.192.15","-1","A","2022-06-14 10:50:07","mouseout","box2","","3574","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet"
"18","17","B0fCn5WB3XbJ0g","211.248.192.15","-1","A","2022-06-14 10:50:07","mouseover","box4","d=0","3675","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet"
"18","17","B0fCn5WB3XbJ0g","211.248.192.15","-1","A","2022-06-14 10:50:07","mouseout","box4","","4398","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet"
"18","17","B0fCn5WB3XbJ0g","211.248.192.15","-1","A","2022-06-14 10:50:07","mouseover","box3","d=0","4423","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet"
