"id","expname","subject","ip","condnum","choice","submitted","event","roword","colord","evttype","boxname","boxin","boxtime","delay","counter","submit","test","optionOrder","attributeOrder","jsonfile","set","relcount","maxcount","f_box2","f_box1","f_box4","f_box3","t_box2","t_box1","t_box4","t_box3"
"9","32","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:46:26","mouseout","","","0_0","box2","2022","816","0","1","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","0.16666666666667","6","1","0","0","0","816","0","0","0"
"9","32","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:46:26","mouseout","","","0_0","box1","2880","2583","0","2","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","0.33333333333333","6","0","1","0","0","0","2583","0","0"
"9","32","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:46:26","mouseout","","","0_0","box2","5588","1291","0","3","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","0.5","6","1","0","0","0","1291","0","0","0"
"9","32","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:46:26","mouseout","","","0_0","box4","6962","567","0","4","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","0.66666666666667","6","0","0","1","0","0","0","567","0"
"9","32","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:46:26","mouseout","","","0_0","box3","7545","617","0","5","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","0.83333333333333","6","0","0","0","1","0","0","0","617"
"9","32","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:46:26","mouseout","","","0_0","box4","8195","300","0","6","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","1","6","0","0","1","0","0","0","300","0"
"40","32","W7xMZFsc8bgeoW","128.134.253.92","-1","A","2022-06-14 13:25:57","touchout","","","0_0","box1","1740","2256","0","1","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","0.125","8","0","1","0","0","0","2256","0","0"
"40","32","W7xMZFsc8bgeoW","128.134.253.92","-1","A","2022-06-14 13:25:57","touchout","","","0_0","box2","4844","762","0","2","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","0.25","8","1","0","0","0","762","0","0","0"
"40","32","W7xMZFsc8bgeoW","128.134.253.92","-1","A","2022-06-14 13:25:57","touchout","","","0_0","box1","5870","278","0","3","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","0.375","8","0","1","0","0","0","278","0","0"
"40","32","W7xMZFsc8bgeoW","128.134.253.92","-1","A","2022-06-14 13:25:57","touchout","","","0_0","box3","6546","494","0","4","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","0.5","8","0","0","0","1","0","0","0","494"
"40","32","W7xMZFsc8bgeoW","128.134.253.92","-1","A","2022-06-14 13:25:57","touchout","","","0_0","box4","7289","828","0","5","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","0.625","8","0","0","1","0","0","0","828","0"
"40","32","W7xMZFsc8bgeoW","128.134.253.92","-1","A","2022-06-14 13:25:57","touchout","","","0_0","box3","8406","337","0","6","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","0.75","8","0","0","0","1","0","0","0","337"
"40","32","W7xMZFsc8bgeoW","128.134.253.92","-1","A","2022-06-14 13:25:57","touchout","","","0_0","box1","8965","2271","0","7","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","0.875","8","0","1","0","0","0","2271","0","0"
"40","32","W7xMZFsc8bgeoW","128.134.253.92","-1","A","2022-06-14 13:25:57","touchout","","","0_0","box2","11517","1061","0","8","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","1","8","1","0","0","0","1061","0","0","0"
