"id","expname","subject","ip","condnum","choice","submitted","roword","colord","div","counter","submit","test","optionOrder","attributeOrder","jsonfile","set","maxcount","f_box2","f_box1","f_box3","f_box4","t_box2","t_box1","t_box3","t_box4"
"17","27","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:49:55","","","1","32","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","32","11","7","6","8","12340","9149","15371","13086"
"72","27","W7xMZFsc8bgeoW","128.134.253.92","-1","A","2022-06-14 13:31:21","","","1","10","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","10","4","4","1","1","1229","1206","420","234"
"91","27","aw1XvvDjL0XznE","80.114.132.251","-1","A","2022-06-14 16:02:40","","","1","6","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","6","1","2","2","1","660","1138","781","999"
"134","27","NEpzOgnmyST18v","1.209.175.50","-1","B","2022-06-14 20:52:38","","","1","15","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","15","4","5","3","3","2730","3490","1679","1214"
"160","27","phkg0GCvX8ceBC","62.77.201.30","-1","A","2022-06-15 07:17:01","","","1","27","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","27","9","9","3","6","3845","3163","1115","1984"
"202","27","k2ZwEjXuEyk0pl","31.46.254.4","-1","B","2022-06-16 13:50:28","","","1","7","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","7","2","2","1","2","679","961","568","668"
"246","27","DxWeF9rqIbTubH","82.195.190.210","-1","B","2022-06-16 14:11:58","","","1","4","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","4","1","1","1","1","617","799","744","649"
"318","27","rI9OVxRlTajmDS","149.29.29.202","-1","B","2022-06-17 07:57:49","","","1","3","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","3","1","1","0","1","502","600","0","133"
"352","27","IE2X2rUMjLbOp5","84.1.28.121","-1","B","2022-06-17 12:51:23","","","1","5","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","5","1","2","1","1","418","516","432","449"
"382","27","bk32rU5iOGuHWV","84.1.28.121","-1","B","2022-06-17 13:04:48","","","1","3","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","3","1","1","0","1","883","415","0","316"
"407","27","e28uMUSesm0oPO","109.158.97.191","-1","A","2022-06-17 13:58:19","","","1","4","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","4","1","1","1","1","327","316","293","460"
"470","27","fqX2QjgCkRvgzm","62.165.198.141","-1","A","2022-06-17 17:29:17","","","1","5","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","5","1","1","2","1","801","535","1880","639"
"489","27","QNJzRFTETtYeje","90.146.163.221","-1","A","2022-06-18 05:28:35","","","1","9","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","9","2","3","2","2","1137","1117","529","820"
"547","27","vrZ7Ymei1XGEG4","201.229.97.78","-1","A","2022-06-18 10:26:46","","","1","4","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","4","1","1","1","1","439","612","339","458"
"592","27","DCV8554pwCJUrT","87.211.132.161","-1","A","2022-06-18 10:29:58","","","1","9","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","9","2","3","2","2","676","850","749","900"
