"id","expname","subject","ip","condnum","choice","submitted","event","roword","colord","evttype","boxname","boxin","boxtime","delay","counter","submit","test","optionOrder","attributeOrder","jsonfile","set","relcount","maxcount","f_box2","f_box1","f_box3","f_box4","t_box2","t_box1","t_box3","t_box4"
"16","29","B0fCn5WB3XbJ0g","211.248.192.15","-1","A","2022-06-14 10:48:49","mouseout","","","0_0","box2","1445","3024","0","1","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","0.16666666666667","6","1","0","0","0","3024","0","0","0"
"16","29","B0fCn5WB3XbJ0g","211.248.192.15","-1","A","2022-06-14 10:48:49","mouseout","","","0_0","box1","4519","992","0","2","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","0.33333333333333","6","0","1","0","0","0","992","0","0"
"16","29","B0fCn5WB3XbJ0g","211.248.192.15","-1","A","2022-06-14 10:48:49","mouseout","","","0_0","box2","5536","757","0","3","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","0.5","6","1","0","0","0","757","0","0","0"
"16","29","B0fCn5WB3XbJ0g","211.248.192.15","-1","A","2022-06-14 10:48:49","mouseout","","","0_0","box1","6335","1283","0","4","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","0.66666666666667","6","0","1","0","0","0","1283","0","0"
"16","29","B0fCn5WB3XbJ0g","211.248.192.15","-1","A","2022-06-14 10:48:49","mouseout","","","0_0","box3","7751","567","0","5","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","0.83333333333333","6","0","0","1","0","0","0","567","0"
"16","29","B0fCn5WB3XbJ0g","211.248.192.15","-1","A","2022-06-14 10:48:49","mouseout","","","0_0","box4","8351","809","0","6","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","1","6","0","0","0","1","0","0","0","809"
"77","29","W7xMZFsc8bgeoW","128.134.253.92","-1","A","2022-06-14 13:32:07","touchout","","","0_0","box1","1810","585","0","1","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","0.2","5","0","1","0","0","0","585","0","0"
"77","29","W7xMZFsc8bgeoW","128.134.253.92","-1","A","2022-06-14 13:32:07","touchout","","","0_0","box2","2801","303","0","2","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","0.4","5","1","0","0","0","303","0","0","0"
"77","29","W7xMZFsc8bgeoW","128.134.253.92","-1","A","2022-06-14 13:32:07","touchout","","","0_0","box3","3350","236","0","3","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","0.6","5","0","0","1","0","0","0","236","0"
"77","29","W7xMZFsc8bgeoW","128.134.253.92","-1","A","2022-06-14 13:32:07","touchout","","","0_0","box4","3825","286","0","4","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","0.8","5","0","0","0","1","0","0","0","286"
"77","29","W7xMZFsc8bgeoW","128.134.253.92","-1","A","2022-06-14 13:32:07","touchout","","","0_0","box4","4778","349","0","5","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","1","5","0","0","0","1","0","0","0","349"
"119","29","aw1XvvDjL0XznE","80.114.132.251","-1","A","2022-06-14 16:06:40","mouseout","","","0_0","box2","711","652","0","1","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","0.25","4","1","0","0","0","652","0","0","0"
"119","29","aw1XvvDjL0XznE","80.114.132.251","-1","A","2022-06-14 16:06:40","mouseout","","","0_0","box1","1395","450","0","2","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","0.5","4","0","1","0","0","0","450","0","0"
"119","29","aw1XvvDjL0XznE","80.114.132.251","-1","A","2022-06-14 16:06:40","mouseout","","","0_0","box4","1911","535","0","3","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","0.75","4","0","0","0","1","0","0","0","535"
"119","29","aw1XvvDjL0XznE","80.114.132.251","-1","A","2022-06-14 16:06:40","mouseout","","","0_0","box3","2478","500","0","4","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","1","4","0","0","1","0","0","0","500","0"
"129","29","NEpzOgnmyST18v","1.209.175.50","-1","A","2022-06-14 20:51:24","mouseout","","","0_0","box2","942","634","0","1","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","0.125","8","1","0","0","0","634","0","0","0"
"129","29","NEpzOgnmyST18v","1.209.175.50","-1","A","2022-06-14 20:51:24","mouseout","","","0_0","box4","1649","789","0","2","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","0.25","8","0","0","0","1","0","0","0","789"
"129","29","NEpzOgnmyST18v","1.209.175.50","-1","A","2022-06-14 20:51:24","mouseout","","","0_0","box2","2475","661","0","3","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","0.375","8","1","0","0","0","661","0","0","0"
"129","29","NEpzOgnmyST18v","1.209.175.50","-1","A","2022-06-14 20:51:24","mouseout","","","0_0","box1","3170","70085","0","4","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","0.5","8","0","1","0","0","0","70085","0","0"
"129","29","NEpzOgnmyST18v","1.209.175.50","-1","A","2022-06-14 20:51:24","mouseout","","","0_0","box2","73280","528","0","5","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","0.625","8","1","0","0","0","528","0","0","0"
"129","29","NEpzOgnmyST18v","1.209.175.50","-1","A","2022-06-14 20:51:24","mouseout","","","0_0","box4","73873","513","0","6","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","0.75","8","0","0","0","1","0","0","0","513"
"129","29","NEpzOgnmyST18v","1.209.175.50","-1","A","2022-06-14 20:51:24","mouseout","","","0_0","box3","74423","306","0","7","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","0.875","8","0","0","1","0","0","0","306","0"
"129","29","NEpzOgnmyST18v","1.209.175.50","-1","A","2022-06-14 20:51:24","mouseout","","","0_0","box1","74793","448","0","8","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","1","8","0","1","0","0","0","448","0","0"
"195","29","phkg0GCvX8ceBC","62.77.201.30","-1","A","2022-06-15 07:24:25","mouseout","","","0_0","box1","837","733","0","1","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","0.035714285714286","28","0","1","0","0","0","733","0","0"
"195","29","phkg0GCvX8ceBC","62.77.201.30","-1","A","2022-06-15 07:24:25","mouseout","","","0_0","box2","1620","400","0","2","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","0.071428571428571","28","1","0","0","0","400","0","0","0"
