"id","expname","subject","ip","condnum","choice","submitted","roword","colord","div","counter","submit","test","optionOrder","attributeOrder","jsonfile","set","maxcount","f_box2","f_box1","f_box3","f_box4","t_box2","t_box1","t_box3","t_box4"
"26","37","B0fCn5WB3XbJ0g","211.248.192.15","-1","A","2022-06-14 10:52:08","","","1","4","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","4","1","1","1","1","1141","1591","483","774"
"41","37","W7xMZFsc8bgeoW","128.134.253.92","-1","A","2022-06-14 13:26:13","","","1","7","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","7","2","2","2","1","1114","1275","937","727"
"116","37","aw1XvvDjL0XznE","80.114.132.251","-1","A","2022-06-14 16:06:12","","","1","7","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","7","2","2","2","1","1117","951","1616","499"
"159","37","NEpzOgnmyST18v","1.209.175.50","-1","A","2022-06-14 21:00:56","","","1","16","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","16","3","5","5","3","1229","2273","1753","1014"
"175","37","phkg0GCvX8ceBC","62.77.201.30","-1","A","2022-06-15 07:20:43","","","1","14","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","14","4","4","3","3","1515","1714","1733","1050"
"209","37","k2ZwEjXuEyk0pl","31.46.254.4","-1","B","2022-06-16 13:51:31","","","1","5","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","5","2","0","1","2","814","0","415","633"
"241","37","DxWeF9rqIbTubH","82.195.190.210","-1","B","2022-06-16 14:10:57","","","1","6","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","6","2","2","1","1","1086","1514","667","682"
"286","37","rI9OVxRlTajmDS","149.29.29.202","-1","B","2022-06-17 07:54:13","","","1","11","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","11","3","3","2","3","1316","1396","849","845"
"323","37","IE2X2rUMjLbOp5","84.1.28.121","-1","A","2022-06-17 12:34:30","","","1","17","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","17","7","6","2","2","5921","3382","998","1500"
"394","37","bk32rU5iOGuHWV","84.1.28.121","-1","B","2022-06-17 13:06:29","","","1","3","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","3","1","1","0","1","416","516","0","599"
"427","37","e28uMUSesm0oPO","109.158.97.191","-1","A","2022-06-17 14:00:19","","","1","4","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","4","1","1","1","1","394","362","261","327"
"447","37","0PpX0R5S2b3GB5","208.218.225.177","-1","B","2022-06-17 15:23:39","","","1","13","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","13","4","3","3","3","3649","4901","2726","2969"
"465","37","fqX2QjgCkRvgzm","62.165.198.141","-1","A","2022-06-17 17:28:10","","","1","4","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","4","1","1","1","1","1882","861","920","621"
"499","37","QNJzRFTETtYeje","90.146.163.221","-1","A","2022-06-18 05:30:45","","","1","8","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","8","2","1","2","3","1870","928","1426","1438"
"528","37","vrZ7Ymei1XGEG4","201.229.97.78","-1","A","2022-06-18 10:24:06","","","1","5","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","5","1","1","2","1","989","680","1069","596"
"594","37","DCV8554pwCJUrT","87.211.132.161","-1","A","2022-06-18 10:30:13","","","1","9","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","9","2","3","2","2","2083","1116","1148","801"
"639","37","YpuFRM3EsA9Tnh","80.114.132.224","-1","A","2022-06-18 14:51:47","","","1","4","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","4","1","1","1","1","450","632","633","617"
"682","37","GHzsS5M4kn3qPb","5.38.195.169","-1","A","2022-06-18 15:39:49","","","1","6","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","6","2","2","1","1","834","579","332","432"
"752","37","ggF7vx9onwmf0U","80.99.250.94","-1","A","2022-06-19 05:15:43","","","1","8","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","8","2","3","2","1","781","683","508","180"
"803","37","OrRCcXsKE1We3k","80.114.167.25","-1","B","2022-06-19 05:21:54","","","1","1","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","1","0","0","1","0","0","0","138","0"
"846","37","YUbL3y8fjKvBq7","163.116.178.30","-1","A","2022-06-20 04:29:11","","","1","8","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","8","3","2","1","2","2008","1048","478","3501"
"906","37","F2DHJDWKscjV7Y","147.161.169.84","-1","A","2022-06-20 07:27:55","","","1","8","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","8","2","2","3","1","599","567","1183","734"
"937","37","lCKkPGBQXKgWlB","89.223.131.144","-1","A","2022-06-20 07:32:24","","","1","9","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","9","2","3","2","2","626","1145","912","520"
"966","37","5MLkC0tXMgK8o0","163.116.178.119","-1","A","2022-06-20 08:44:46","","","1","10","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","10","3","3","2","2","1002","954","402","535"
"1017","37","WsXGz7XlEYcxw7","193.225.54.2","-1","A","2022-06-20 11:06:00","","","1","7","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","7","1","2","3","1","682","934","882","533"
"1057","37","19jHpDbOrHhK2E","176.63.28.243","-1","A","2022-06-20 13:49:03","","","1","4","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","4","1","1","1","1","1734","550","650","366"
"1120","37","QIU1BczDGxOpGR","89.205.131.27","-1","A","2022-06-21 07:26:24","","","1","7","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","7","2","2","2","1","592","774","711","1866"
"1131","37","iWl2lzunrIV01z","145.108.230.212","-1","A","2022-06-21 07:27:06","","","1","5","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","5","1","1","2","1","611","1279","1047","731"
"1149","37","BAx0a97PQ40dev","146.50.212.25","-1","A","2022-06-21 10:33:59","","","1","9","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","9","3","2","2","2","1115","985","1003","885"
"1191","37","ZrMHoYN0kwNjBR","77.111.112.170","-1","A","2022-06-21 12:47:21","","","1","4","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","4","1","1","1","1","481","753","498","113"
"1248","37","uBQ0Wu2wl5lnFc","62.194.196.58","-1","B","2022-06-22 08:49:55","","","1","14","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","14","6","5","1","2","2084","2369","217","1001"
"1278","37","eXkEPMjASmYoUl","193.225.54.32","-1","B","2022-06-23 03:51:01","","","1","2","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","2","1","0","0","1","1123","0","0","152"
"1332","37","X4l2YrFHVrUejJ","84.3.167.133","-1","A","2022-06-23 04:24:49","","","1","4","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","4","1","1","1","1","264","268","483","200"
"1348","37","NkU82Lh7javxl3","165.225.200.188","-1","A","2022-06-23 06:20:46","","","1","7","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","7","1","3","2","1","333","949","999","317"
"1394","37","gK8qcxE90fE6L6","176.63.14.55","-1","A","2022-06-23 08:05:35","","","1","11","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","11","3","4","3","1","1476","3904","709","475"
"1446","37","mncNjomh7UfIzG","143.177.49.198","-1","A","2022-06-23 16:19:30","","","1","16","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","16","4","7","4","1","2266","3349","1476","499"
"1465","37","XqeppgwNjysUK1","80.98.115.247","-1","A","2022-06-24 05:10:07","","","1","8","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","8","2","2","2","2","849","1033","2784","602"
"1529","37","7pWoCu9NyaRxZz","193.205.24.51","-1","A","2022-06-24 06:15:51","","","1","9","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","9","3","3","2","1","1751","1496","900","434"
"1558","37","6idIFUCMJuHofF","37.76.1.210","-1","A","2022-06-24 06:19:40","","","1","4","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","4","1","1","1","1","900","1216","1133","800"
"1576","37","zNQb21HqD51R1c","78.139.22.66","-1","A","2022-06-24 09:22:20","","","1","7","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","7","2","2","2","1","597","644","1304","327"
"1620","37","0DOg5zCtEZUz1E","176.63.19.101","-1","A","2022-06-24 10:35:51","","","1","5","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","5","1","1","2","1","402","476","865","436"
"1662","37","skxYmZHybTjh2S","77.234.84.94","-1","A","2022-06-24 12:26:27","","","1","8","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","8","2","2","2","2","1701","918","1132","1033"
"1706","37","XXDoEzMZ4Dipub","147.161.169.74","-1","A","2022-06-25 02:03:23","","","1","5","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","5","2","0","2","1","249","0","299","150"
