"id","expname","subject","ip","condnum","choice","submitted","event","roword","colord","evttype","boxname","boxin","boxtime","delay","counter","submit","test","optionOrder","attributeOrder","jsonfile","set","relcount","maxcount","f_box2","f_box1","f_box4","f_box3","t_box2","t_box1","t_box4","t_box3"
"21","24","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:50:48","mouseout","","","0_0","box2","4393","883","0","1","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","0.2","5","1","0","0","0","883","0","0","0"
"21","24","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:50:48","mouseout","","","0_0","box1","5351","2565","0","2","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","0.4","5","0","1","0","0","0","2565","0","0"
"21","24","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:50:48","mouseout","","","0_0","box2","8008","750","0","3","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","0.6","5","1","0","0","0","750","0","0","0"
"21","24","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:50:48","mouseout","","","0_0","box4","8874","509","0","4","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","0.8","5","0","0","1","0","0","0","509","0"
"21","24","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:50:48","mouseout","","","0_0","box3","9399","475","0","5","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","1","5","0","0","0","1","0","0","0","475"
"57","24","W7xMZFsc8bgeoW","128.134.253.92","-1","A","2022-06-14 13:29:06","touchout","","","0_0","box1","1170","227","0","1","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","0.2","5","0","1","0","0","0","227","0","0"
"57","24","W7xMZFsc8bgeoW","128.134.253.92","-1","A","2022-06-14 13:29:06","touchout","","","0_0","box2","1554","235","0","2","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","0.4","5","1","0","0","0","235","0","0","0"
"57","24","W7xMZFsc8bgeoW","128.134.253.92","-1","A","2022-06-14 13:29:06","touchout","","","0_0","box3","2429","227","0","3","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","0.6","5","0","0","0","1","0","0","0","227"
"57","24","W7xMZFsc8bgeoW","128.134.253.92","-1","A","2022-06-14 13:29:06","touchout","","","0_0","box4","2845","401","0","4","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","0.8","5","0","0","1","0","0","0","401","0"
"57","24","W7xMZFsc8bgeoW","128.134.253.92","-1","A","2022-06-14 13:29:06","touchout","","","0_0","box4","3987","326","0","5","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","1","5","0","0","1","0","0","0","326","0"
