"id","expname","subject","ip","condnum","choice","submitted","event","name","value","time","submit","test","optionOrder","attributeOrder","jsonfile","set"
"3","20","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:44:32","onload","body","body","36","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet"
"3","20","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:44:32","mouseover","box1","d=0","31392","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet"
"3","20","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:44:32","mouseout","box1","","33665","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet"
"3","20","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:44:32","mouseover","box1","d=0","33673","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet"
"3","20","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:44:32","mouseout","box1","","33674","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet"
"3","20","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:44:32","mouseover","box1","d=0","33681","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet"
"3","20","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:44:32","mouseout","box1","","33683","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet"
"3","20","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:44:32","mouseover","box1","d=0","33689","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet"
"3","20","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:44:32","mouseout","box1","","33690","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet"
"3","20","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:44:32","mouseover","box1","d=0","33698","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet"
"3","20","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:44:32","mouseout","box1","","33699","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet"
"3","20","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:44:32","mouseover","box1","d=0","33706","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet"
"3","20","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:44:32","mouseout","box1","","33708","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet"
"3","20","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:44:32","mouseover","box1","d=0","33715","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet"
"3","20","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:44:32","mouseout","box1","","33716","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet"
"3","20","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:44:32","mouseover","box1","d=0","33723","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet"
"3","20","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:44:32","mouseout","box1","","33724","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet"
"3","20","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:44:32","mouseover","box3","d=0","33848","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet"
"3","20","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:44:32","mouseout","box3","","34398","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet"
"3","20","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:44:32","mouseover","box1","d=0","34406","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet"
"3","20","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:44:32","mouseout","box1","","34408","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet"
