"id","expname","subject","ip","condnum","choice","submitted","roword","colord","div","counter","submit","test","optionOrder","attributeOrder","jsonfile","set","maxcount","f_box2","f_box1","f_box4","f_box3","t_box2","t_box1","t_box4","t_box3"
"34","33","B0fCn5WB3XbJ0g","211.248.192.15","-1","A","2022-06-14 10:54:35","","","1","7","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","7","2","2","1","2","3115","1416","500","791"
"48","33","W7xMZFsc8bgeoW","128.134.253.92","-1","A","2022-06-14 13:27:44","","","1","4","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","4","1","1","1","1","517","434","654","410"
"114","33","aw1XvvDjL0XznE","80.114.132.251","-1","A","2022-06-14 16:05:56","","","1","5","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","5","1","2","1","1","649","1160","501","483"
"151","33","NEpzOgnmyST18v","1.209.175.50","-1","A","2022-06-14 20:56:28","","","1","10","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","10","2","4","1","3","845","1636","399","941"
"198","33","phkg0GCvX8ceBC","62.77.201.30","-1","A","2022-06-15 07:24:52","","","1","10","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","10","2","4","1","3","667","1015","350","1083"
"205","33","k2ZwEjXuEyk0pl","31.46.254.4","-1","B","2022-06-16 13:50:58","","","1","4","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","4","1","1","1","1","465","233","466","498"
"254","33","DxWeF9rqIbTubH","82.195.190.210","-1","B","2022-06-16 14:13:25","","","1","5","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","5","1","2","1","1","662","645","399","461"
"295","33","rI9OVxRlTajmDS","149.29.29.202","-1","B","2022-06-17 07:55:18","","","1","7","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","7","3","1","2","1","1033","783","797","540"
"339","33","IE2X2rUMjLbOp5","84.1.28.121","-1","A","2022-06-17 12:43:53","","","1","11","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","11","4","3","3","1","1963","1584","1614","450"
"367","33","bk32rU5iOGuHWV","84.1.28.121","-1","B","2022-06-17 13:02:37","","","1","4","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","4","1","1","1","1","548","699","499","334"
"409","33","e28uMUSesm0oPO","109.158.97.191","-1","A","2022-06-17 13:58:29","","","1","4","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","4","1","1","1","1","498","460","494","426"
"490","33","QNJzRFTETtYeje","90.146.163.221","-1","A","2022-06-18 05:28:51","","","1","12","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","12","3","3","4","2","1496","2000","2024","1108"
"542","33","vrZ7Ymei1XGEG4","201.229.97.78","-1","A","2022-06-18 10:26:18","","","1","4","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","4","1","1","1","1","524","355","273","323"
"600","33","DCV8554pwCJUrT","87.211.132.161","-1","A","2022-06-18 10:30:49","","","1","8","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","8","1","3","1","3","499","2550","347","1617"
"634","33","YpuFRM3EsA9Tnh","80.114.132.224","-1","A","2022-06-18 14:51:12","","","1","4","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","4","1","1","1","1","367","717","1166","550"
"654","33","GHzsS5M4kn3qPb","5.38.195.169","-1","A","2022-06-18 15:35:42","","","1","10","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","10","2","3","3","2","797","1194","1319","1097"
"741","33","ggF7vx9onwmf0U","80.99.250.94","-1","A","2022-06-19 05:11:10","","","1","19","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","19","6","7","3","3","2136","3649","1142","1026"
"783","33","OrRCcXsKE1We3k","80.114.167.25","-1","B","2022-06-19 05:20:22","","","1","3","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","3","0","1","1","1","0","202","436","377"
"812","33","sh5aQtbGJHCnOp","80.114.167.180","-1","A","2022-06-19 06:10:49","","","1","7","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","7","2","3","1","1","739","1030","518","399"
"824","33","YUbL3y8fjKvBq7","163.116.178.30","-1","A","2022-06-20 04:25:36","","","1","4","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","4","1","1","1","1","626","686","417","732"
"869","33","lCKkPGBQXKgWlB","89.223.131.144","-1","B","2022-06-20 07:24:25","","","1","13","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","13","4","4","3","2","1993","1790","2266","850"
"894","33","F2DHJDWKscjV7Y","147.161.169.84","-1","A","2022-06-20 07:26:38","","","1","4","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","4","1","1","1","1","450","350","333","533"
"978","33","5MLkC0tXMgK8o0","163.116.178.119","-1","A","2022-06-20 08:50:53","","","1","8","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","8","3","3","1","1","1120","968","369","368"
"1009","33","WsXGz7XlEYcxw7","193.225.54.2","-1","A","2022-06-20 11:04:45","","","1","12","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","12","4","3","3","2","1631","1450","1425","948"
"1052","33","19jHpDbOrHhK2E","176.63.28.243","-1","A","2022-06-20 13:48:18","","","1","7","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","7","2","1","3","1","3118","783","986","783"
"1118","33","QIU1BczDGxOpGR","89.205.131.27","-1","A","2022-06-21 07:26:17","","","1","4","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","4","1","1","1","1","389","279","346","330"
