"id","expname","subject","ip","condnum","choice","submitted","roword","colord","div","counter","submit","test","optionOrder","attributeOrder","jsonfile","set","maxcount","f_box1","f_box2","f_box3","f_box4","t_box1","t_box2","t_box3","t_box4"
"33","4","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:54:22","","","1","4","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","4","1","1","1","1","1125","2941","542","700"
"46","4","W7xMZFsc8bgeoW","128.134.253.92","-1","B","2022-06-14 13:27:26","","","1","13","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","13","5","3","2","3","2202","2404","739","1161"
"113","4","aw1XvvDjL0XznE","80.114.132.251","-1","A","2022-06-14 16:05:50","","","1","5","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","5","2","1","1","1","875","467","501","386"
"135","4","NEpzOgnmyST18v","1.209.175.50","-1","B","2022-06-14 20:52:56","","","1","9","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","9","2","4","1","2","886","9559","595","663"
"165","4","phkg0GCvX8ceBC","62.77.201.30","-1","A","2022-06-15 07:18:08","","","1","13","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","13","4","5","2","2","1882","2248","867","850"
"231","4","k2ZwEjXuEyk0pl","31.46.254.4","-1","B","2022-06-16 13:55:07","","","1","10","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","10","2","3","2","3","864","731","248","767"
"263","4","DxWeF9rqIbTubH","82.195.190.210","-1","B","2022-06-16 14:14:49","","","1","5","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","5","1","1","2","1","517","534","566","502"
"291","4","rI9OVxRlTajmDS","149.29.29.202","-1","B","2022-06-17 07:54:49","","","1","4","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","4","1","1","1","1","853","549","443","650"
"354","4","IE2X2rUMjLbOp5","84.1.28.121","-1","B","2022-06-17 12:52:02","","","1","14","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","14","4","5","3","2","2031","2363","2252","467"
"374","4","bk32rU5iOGuHWV","84.1.28.121","-1","B","2022-06-17 13:03:41","","","1","6","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","6","2","2","1","1","931","1112","127","398"
"405","4","e28uMUSesm0oPO","109.158.97.191","-1","A","2022-06-17 13:58:07","","","1","4","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","4","1","1","1","1","449","478","460","310"
"494","4","QNJzRFTETtYeje","90.146.163.221","-1","A","2022-06-18 05:29:42","","","1","6","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","6","2","1","2","1","1350","542","626","354"
"551","4","vrZ7Ymei1XGEG4","201.229.97.78","-1","A","2022-06-18 10:27:02","","","1","4","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","4","1","1","1","1","355","505","358","348"
"556","4","DCV8554pwCJUrT","87.211.132.161","-1","B","2022-06-18 10:27:22","","","1","8","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","8","1","4","1","2","384","1425","733","1233"
"609","4","YpuFRM3EsA9Tnh","80.114.132.224","-1","B","2022-06-18 14:48:59","","","1","4","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","4","1","1","1","1","365","450","417","866"
"674","4","GHzsS5M4kn3qPb","5.38.195.169","-1","B","2022-06-18 15:38:49","","","1","10","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","10","2","3","2","3","698","996","531","1230"
"720","4","755Lpy02O94QoB","176.241.52.27","-1","A","2022-06-18 16:11:47","","","1","1","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","1","0","0","0","1","0","0","0","153"
"734","4","ggF7vx9onwmf0U","80.99.250.94","-1","B","2022-06-19 05:09:08","","","1","6","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","6","2","2","1","1","683","952","408","333"
"761","4","OrRCcXsKE1We3k","80.114.167.25","-1","B","2022-06-19 05:18:03","","","1","12","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","12","2","3","4","3","4151","2894","1659","2401"
"868","4","F2DHJDWKscjV7Y","147.161.169.84","-1","B","2022-06-20 07:24:17","","","1","7","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","7","1","2","1","3","398","1865","750","1034"
"918","4","lCKkPGBQXKgWlB","89.223.131.144","-1","B","2022-06-20 07:30:05","","","1","5","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","5","1","1","1","2","400","595","432","807"
"951","4","5MLkC0tXMgK8o0","163.116.178.119","-1","B","2022-06-20 08:42:21","","","1","11","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","11","4","4","1","2","1385","1287","385","536"
"1007","4","WsXGz7XlEYcxw7","193.225.54.2","-1","B","2022-06-20 11:04:23","","","1","14","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","14","4","6","1","3","2463","3782","715","1432"
"1039","4","19jHpDbOrHhK2E","176.63.28.243","-1","B","2022-06-20 13:44:33","","","1","8","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","8","3","3","1","1","8953","5335","365","750"
"1089","4","QIU1BczDGxOpGR","89.205.131.27","-1","A","2022-06-21 07:24:31","","","1","18","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","18","4","6","4","4","3247","2178","1433","1856"
"1108","4","iWl2lzunrIV01z","145.108.230.212","-1","A","2022-06-21 07:25:36","","","1","4","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","4","1","1","1","1","707","516","617","653"
"1144","4","BAx0a97PQ40dev","146.50.212.25","-1","A","2022-06-21 10:33:14","","","1","17","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","17","7","4","3","3","2224","1335","1438","988"
"1210","4","ZrMHoYN0kwNjBR","77.111.112.170","-1","A","2022-06-21 12:50:27","","","1","4","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","4","1","1","1","1","532","883","872","744"
