"id","expname","subject","ip","condnum","choice","submitted","roword","colord","div","counter","submit","test","optionOrder","attributeOrder","jsonfile","set","maxcount","f_box2","f_box1","f_box4","f_box3","t_box2","t_box1","t_box4","t_box3"
"30","8","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:53:34","","","1","6","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","6","2","1","2","1","6557","1617","1191","550"
"42","8","W7xMZFsc8bgeoW","128.134.253.92","-1","B","2022-06-14 13:26:29","","","1","7","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","7","2","2","1","2","1305","1989","590","1289"
"98","8","aw1XvvDjL0XznE","80.114.132.251","-1","B","2022-06-14 16:03:46","","","1","6","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","6","2","1","2","1","1119","550","1150","850"
"156","8","NEpzOgnmyST18v","1.209.175.50","-1","B","2022-06-14 20:58:19","","","1","11","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","11","3","4","2","2","1264","1487","654","561"
"176","8","phkg0GCvX8ceBC","62.77.201.30","-1","A","2022-06-15 07:20:52","","","1","12","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","12","3","5","1","3","1166","1850","416","883"
"220","8","k2ZwEjXuEyk0pl","31.46.254.4","-1","B","2022-06-16 13:52:50","","","1","4","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","4","1","1","1","1","447","400","316","448"
"252","8","DxWeF9rqIbTubH","82.195.190.210","-1","B","2022-06-16 14:13:02","","","1","5","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","5","1","1","1","2","533","423","257","277"
"309","8","rI9OVxRlTajmDS","149.29.29.202","-1","B","2022-06-17 07:56:52","","","1","5","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","5","1","2","1","1","552","2666","367","250"
"321","8","IE2X2rUMjLbOp5","84.1.28.121","-1","B","2022-06-17 12:33:06","","","1","5","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","5","2","1","1","1","1399","933","599","766"
"379","8","bk32rU5iOGuHWV","84.1.28.121","-1","B","2022-06-17 13:04:24","","","1","3","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","3","1","1","1","0","868","649","114","0"
"429","8","e28uMUSesm0oPO","109.158.97.191","-1","A","2022-06-17 14:00:30","","","1","4","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","4","1","1","1","1","508","544","478","678"
"450","8","0PpX0R5S2b3GB5","208.218.225.177","-1","B","2022-06-17 15:24:59","","","1","6","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","6","2","2","1","1","3309","2822","1138","1231"
"462","8","fqX2QjgCkRvgzm","62.165.198.141","-1","A","2022-06-17 17:27:22","","","1","9","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","9","2","3","2","2","1719","3597","1766","1239"
"506","8","QNJzRFTETtYeje","90.146.163.221","-1","A","2022-06-18 05:32:16","","","1","5","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","5","2","1","1","1","821","614","689","396"
"546","8","vrZ7Ymei1XGEG4","201.229.97.78","-1","B","2022-06-18 10:26:40","","","1","5","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","5","1","2","1","1","579","1069","448","291"
"566","8","DCV8554pwCJUrT","87.211.132.161","-1","A","2022-06-18 10:28:03","","","1","11","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","11","3","2","3","3","1199","1065","1217","1216"
"605","8","YpuFRM3EsA9Tnh","80.114.132.224","-1","B","2022-06-18 14:48:33","","","1","7","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","7","2","2","2","1","719","767","1473","583"
"650","8","GHzsS5M4kn3qPb","5.38.195.169","-1","B","2022-06-18 15:35:05","","","1","5","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","5","2","1","1","1","1361","565","697","631"
"721","8","755Lpy02O94QoB","176.241.52.27","-1","A","2022-06-18 16:11:49","","","1","1","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","1","0","0","1","0","0","0","194","0"
"755","8","ggF7vx9onwmf0U","80.99.250.94","-1","B","2022-06-19 05:16:52","","","1","6","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","6","2","1","2","1","1004","439","588","384"
"786","8","OrRCcXsKE1We3k","80.114.167.25","-1","B","2022-06-19 05:20:38","","","1","3","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","3","1","1","0","1","228","562","0","362"
