"id","expname","subject","ip","condnum","choice","submitted","roword","colord","div","counter","submit","test","optionOrder","attributeOrder","jsonfile","set","maxcount","f_box2","f_box4","f_box1","f_box3","t_box2","t_box4","t_box1","t_box3"
"4","18","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:44:48","","","1","12","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","12","4","4","2","2","3527","1567","1840","1525"
"55","18","W7xMZFsc8bgeoW","128.134.253.92","-1","B","2022-06-14 13:28:48","","","1","5","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","5","2","1","1","1","670","294","278","259"
"108","18","aw1XvvDjL0XznE","80.114.132.251","-1","A","2022-06-14 16:05:15","","","1","6","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","6","1","1","1","3","599","516","484","1774"
"133","18","NEpzOgnmyST18v","1.209.175.50","-1","B","2022-06-14 20:52:23","","","1","7","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","7","2","2","2","1","1201","986","1033","569"
"172","18","phkg0GCvX8ceBC","62.77.201.30","-1","B","2022-06-15 07:20:01","","","1","18","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","18","6","3","6","3","2898","2099","3729","1483"
"217","18","k2ZwEjXuEyk0pl","31.46.254.4","-1","B","2022-06-16 13:52:30","","","1","4","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","4","1","1","1","1","434","465","265","250"
"259","18","DxWeF9rqIbTubH","82.195.190.210","-1","B","2022-06-16 14:14:17","","","1","4","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","4","1","1","1","1","766","654","850","633"
"314","18","rI9OVxRlTajmDS","149.29.29.202","-1","B","2022-06-17 07:57:27","","","1","6","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","6","3","1","2","0","1070","217","897","0"
"325","18","IE2X2rUMjLbOp5","84.1.28.121","-1","B","2022-06-17 12:35:32","","","1","7","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","7","2","2","2","1","1566","932","1448","617"
"366","18","bk32rU5iOGuHWV","84.1.28.121","-1","B","2022-06-17 13:02:29","","","1","3","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","3","1","1","1","0","498","767","567","0"
"412","18","e28uMUSesm0oPO","109.158.97.191","-1","A","2022-06-17 13:58:50","","","1","5","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","5","1","1","2","1","527","393","806","379"
"456","18","0PpX0R5S2b3GB5","208.218.225.177","-1","B","2022-06-17 15:26:47","","","1","6","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","6","2","2","1","1","1740","840","881","1179"
