"id","expname","subject","ip","condnum","choice","submitted","event","name","value","time","submit","test","optionOrder","attributeOrder","jsonfile","set"
"38","25","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:56:12","onload","body","body","10","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet"
"38","25","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:56:12","mouseover","box2","d=0","1084","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet"
"38","25","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:56:12","mouseout","box2","","2732","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet"
"38","25","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:56:12","mouseover","box1","d=0","2757","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet"
"38","25","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:56:12","mouseout","box1","","4831","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet"
"38","25","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:56:12","mouseover","box2","d=0","4865","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet"
"38","25","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:56:12","mouseout","box2","","8081","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet"
"38","25","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:56:12","mouseover","box1","d=0","8122","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet"
"38","25","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:56:12","mouseout","box1","","8630","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet"
"38","25","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:56:12","mouseover","box3","d=0","8680","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet"
"38","25","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:56:12","mouseout","box3","","9297","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet"
"38","25","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:56:12","mouseover","box4","d=0","9322","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet"
"38","25","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:56:12","mouseout","box4","","10205","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet"
"38","25","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:56:12","mouseover","box3","d=0","10230","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet"
"38","25","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:56:12","mouseout","box3","","10538","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet"
"38","25","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:56:12","mouseover","box1","d=0","10563","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet"
"38","25","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:56:12","mouseout","box1","","10938","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet"
