"id","expname","subject","ip","condnum","choice","submitted","event","roword","colord","evttype","boxname","boxin","boxtime","delay","counter","submit","test","optionOrder","attributeOrder","jsonfile","set","relcount","maxcount","f_box2","f_box1","f_box3","f_box4","t_box2","t_box1","t_box3","t_box4"
"13","7","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:47:55","mouseout","","","0_0","box2","1331","1432","0","1","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","0.16666666666667","6","1","0","0","0","1432","0","0","0"
"13","7","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:47:55","mouseout","","","0_0","box1","2788","1433","0","2","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","0.33333333333333","6","0","1","0","0","0","1433","0","0"
"13","7","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:47:55","mouseout","","","0_0","box3","4296","133","0","3","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","0.5","6","0","0","1","0","0","0","133","0"
"13","7","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:47:55","mouseout","","","0_0","box4","4788","591","0","4","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","0.66666666666667","6","0","0","0","1","0","0","0","591"
"13","7","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:47:55","mouseout","","","0_0","box2","5430","407","0","5","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","0.83333333333333","6","1","0","0","0","407","0","0","0"
"13","7","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:47:55","mouseout","","","0_0","box4","5870","125","0","6","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","1","6","0","0","0","1","0","0","0","125"
"60","7","W7xMZFsc8bgeoW","128.134.253.92","-1","B","2022-06-14 13:29:37","touchout","","","0_0","box1","1317","243","0","1","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","0.076923076923077","13","0","1","0","0","0","243","0","0"
"60","7","W7xMZFsc8bgeoW","128.134.253.92","-1","B","2022-06-14 13:29:37","touchout","","","0_0","box2","1800","344","0","2","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","0.15384615384615","13","1","0","0","0","344","0","0","0"
"60","7","W7xMZFsc8bgeoW","128.134.253.92","-1","B","2022-06-14 13:29:37","touchout","","","0_0","box3","2765","260","0","3","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","0.23076923076923","13","0","0","1","0","0","0","260","0"
"60","7","W7xMZFsc8bgeoW","128.134.253.92","-1","B","2022-06-14 13:29:37","touchout","","","0_0","box4","3339","997","0","4","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","0.30769230769231","13","0","0","0","1","0","0","0","997"
"60","7","W7xMZFsc8bgeoW","128.134.253.92","-1","B","2022-06-14 13:29:37","touchout","","","0_0","box2","4576","552","0","5","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","0.38461538461538","13","1","0","0","0","552","0","0","0"
"60","7","W7xMZFsc8bgeoW","128.134.253.92","-1","B","2022-06-14 13:29:37","touchout","","","0_0","box1","5255","471","0","6","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","0.46153846153846","13","0","1","0","0","0","471","0","0"
"60","7","W7xMZFsc8bgeoW","128.134.253.92","-1","B","2022-06-14 13:29:37","touchout","","","0_0","box2","5925","334","0","7","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","0.53846153846154","13","1","0","0","0","334","0","0","0"
"60","7","W7xMZFsc8bgeoW","128.134.253.92","-1","B","2022-06-14 13:29:37","touchout","","","0_0","box1","6399","444","0","8","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","0.61538461538462","13","0","1","0","0","0","444","0","0"
"60","7","W7xMZFsc8bgeoW","128.134.253.92","-1","B","2022-06-14 13:29:37","touchout","","","0_0","box3","7478","356","0","9","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","0.69230769230769","13","0","0","1","0","0","0","356","0"
"60","7","W7xMZFsc8bgeoW","128.134.253.92","-1","B","2022-06-14 13:29:37","touchout","","","0_0","box4","8097","437","0","10","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","0.76923076923077","13","0","0","0","1","0","0","0","437"
"60","7","W7xMZFsc8bgeoW","128.134.253.92","-1","B","2022-06-14 13:29:37","touchout","","","0_0","box2","8716","260","0","11","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","0.84615384615385","13","1","0","0","0","260","0","0","0"
"60","7","W7xMZFsc8bgeoW","128.134.253.92","-1","B","2022-06-14 13:29:37","touchout","","","0_0","box1","9124","376","0","12","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","0.92307692307692","13","0","1","0","0","0","376","0","0"
"60","7","W7xMZFsc8bgeoW","128.134.253.92","-1","B","2022-06-14 13:29:37","touchout","","","0_0","box2","9749","360","0","13","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","1","13","1","0","0","0","360","0","0","0"
"88","7","aw1XvvDjL0XznE","80.114.132.251","-1","B","2022-06-14 16:02:08","mouseout","","","0_0","box2","173","855","0","1","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","0.090909090909091","11","1","0","0","0","855","0","0","0"
"88","7","aw1XvvDjL0XznE","80.114.132.251","-1","B","2022-06-14 16:02:08","mouseout","","","0_0","box4","1029","233","0","2","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","0.18181818181818","11","0","0","0","1","0","0","0","233"
"88","7","aw1XvvDjL0XznE","80.114.132.251","-1","B","2022-06-14 16:02:08","mouseout","","","0_0","box1","1345","933","0","3","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","0.27272727272727","11","0","1","0","0","0","933","0","0"
"88","7","aw1XvvDjL0XznE","80.114.132.251","-1","B","2022-06-14 16:02:08","mouseout","","","0_0","box4","2396","466","0","4","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","0.36363636363636","11","0","0","0","1","0","0","0","466"
"88","7","aw1XvvDjL0XznE","80.114.132.251","-1","B","2022-06-14 16:02:08","mouseout","","","0_0","box3","2895","867","0","5","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","0.45454545454545","11","0","0","1","0","0","0","867","0"
"88","7","aw1XvvDjL0XznE","80.114.132.251","-1","B","2022-06-14 16:02:08","mouseout","","","0_0","box4","3795","433","0","6","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","0.54545454545455","11","0","0","0","1","0","0","0","433"
"88","7","aw1XvvDjL0XznE","80.114.132.251","-1","B","2022-06-14 16:02:08","mouseout","","","0_0","box1","4278","484","0","7","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","0.63636363636364","11","0","1","0","0","0","484","0","0"
