"id","expname","subject","ip","condnum","choice","submitted","event","roword","colord","evttype","boxname","boxin","boxtime","delay","counter","submit","test","optionOrder","attributeOrder","jsonfile","set","relcount","maxcount","f_box1","f_box2","f_box4","f_box3","t_box1","t_box2","t_box4","t_box3"
"37","36","B0fCn5WB3XbJ0g","211.248.192.15","-1","A","2022-06-14 10:55:18","mouseout","","","0_0","box1","1038","708","0","1","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","0.125","8","1","0","0","0","708","0","0","0"
"37","36","B0fCn5WB3XbJ0g","211.248.192.15","-1","A","2022-06-14 10:55:18","mouseout","","","0_0","box2","1771","642","0","2","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","0.25","8","0","1","0","0","0","642","0","0"
"37","36","B0fCn5WB3XbJ0g","211.248.192.15","-1","A","2022-06-14 10:55:18","mouseout","","","0_0","box1","2454","525","0","3","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","0.375","8","1","0","0","0","525","0","0","0"
"37","36","B0fCn5WB3XbJ0g","211.248.192.15","-1","A","2022-06-14 10:55:18","mouseout","","","0_0","box2","2996","458","0","4","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","0.5","8","0","1","0","0","0","458","0","0"
"37","36","B0fCn5WB3XbJ0g","211.248.192.15","-1","A","2022-06-14 10:55:18","mouseout","","","0_0","box4","3512","434","0","5","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","0.625","8","0","0","1","0","0","0","434","0"
"37","36","B0fCn5WB3XbJ0g","211.248.192.15","-1","A","2022-06-14 10:55:18","mouseout","","","0_0","box3","3962","775","0","6","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","0.75","8","0","0","0","1","0","0","0","775"
"37","36","B0fCn5WB3XbJ0g","211.248.192.15","-1","A","2022-06-14 10:55:18","mouseout","","","0_0","box1","4804","408","0","7","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","0.875","8","1","0","0","0","408","0","0","0"
"37","36","B0fCn5WB3XbJ0g","211.248.192.15","-1","A","2022-06-14 10:55:18","mouseout","","","0_0","box3","5312","166","0","8","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","1","8","0","0","0","1","0","0","0","166"
"66","36","W7xMZFsc8bgeoW","128.134.253.92","-1","A","2022-06-14 13:30:27","touchout","","","0_0","box2","1162","253","0","1","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","0.25","4","0","1","0","0","0","253","0","0"
"66","36","W7xMZFsc8bgeoW","128.134.253.92","-1","A","2022-06-14 13:30:27","touchout","","","0_0","box1","1637","269","0","2","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","0.5","4","1","0","0","0","269","0","0","0"
