"id","expname","subject","ip","condnum","choice","submitted","event","name","value","time","submit","test","optionOrder","attributeOrder","jsonfile","set"
"17","27","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:49:55","onload","body","body","35","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet"
"17","27","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:49:55","mouseover","box2","d=0","2866","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet"
"17","27","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:49:55","mouseout","box2","","5636","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet"
"17","27","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:49:55","mouseover","box1","d=0","5677","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet"
"17","27","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:49:55","mouseout","box1","","7427","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet"
"17","27","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:49:55","mouseover","box1","d=0","7435","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet"
"17","27","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:49:55","mouseout","box1","","7436","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet"
"17","27","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:49:55","mouseover","box1","d=0","7443","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet"
"17","27","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:49:55","mouseout","box1","","7444","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet"
"17","27","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:49:55","mouseover","box1","d=0","7451","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet"
"17","27","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:49:55","mouseout","box1","","7452","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet"
"17","27","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:49:55","mouseover","box1","d=0","7460","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet"
"17","27","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:49:55","mouseout","box1","","7461","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet"
"17","27","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:49:55","mouseover","box1","d=0","7468","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet"
"17","27","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:49:55","mouseout","box1","","7469","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet"
"17","27","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:49:55","mouseover","box1","d=0","7476","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet"
"17","27","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:49:55","mouseout","box1","","7477","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet"
"17","27","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:49:55","mouseover","box1","d=0","7485","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet"
"17","27","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:49:55","mouseout","box1","","7486","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet"
"17","27","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:49:55","mouseover","box1","d=0","7493","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet"
"17","27","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:49:55","mouseout","box1","","7494","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet"
"17","27","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:49:55","mouseover","box3","d=0","7718","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet"
"17","27","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:49:55","mouseout","box3","","8218","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet"
"17","27","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:49:55","mouseover","box4","d=0","8243","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet"
"17","27","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:49:55","mouseout","box4","","8918","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet"
"17","27","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:49:55","mouseover","box2","d=0","8952","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet"
"17","27","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:49:55","mouseout","box2","","9060","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet"
"17","27","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:49:55","mouseover","box2","d=0","9334","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet"
"17","27","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:49:55","mouseout","box2","","9959","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet"
"17","27","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:49:55","mouseover","box1","d=0","9984","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet"
"17","27","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:49:55","mouseout","box1","","11692","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet"
"17","27","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:49:55","mouseover","box2","d=0","11892","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet"
"17","27","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:49:55","mouseout","box2","","15324","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet"
