"id","expname","subject","ip","condnum","choice","submitted","roword","colord","div","counter","submit","test","optionOrder","attributeOrder","jsonfile","set","maxcount","f_box2","f_box1","f_box3","f_box4","t_box2","t_box1","t_box3","t_box4"
"38","25","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:56:12","","","1","22","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","22","7","7","4","4","17792","16486","6207","2508"
"75","25","W7xMZFsc8bgeoW","128.134.253.92","-1","A","2022-06-14 13:31:48","","","1","4","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","4","1","1","1","1","285","319","227","285"
"92","25","aw1XvvDjL0XznE","80.114.132.251","-1","B","2022-06-14 16:02:50","","","1","7","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","7","2","1","1","3","1546","621","849","1548"
"131","25","NEpzOgnmyST18v","1.209.175.50","-1","B","2022-06-14 20:52:01","","","1","7","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","7","2","2","1","2","952","760","537","1260"
"189","25","phkg0GCvX8ceBC","62.77.201.30","-1","A","2022-06-15 07:23:22","","","1","24","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","24","8","7","4","5","3765","3352","1816","2118"
"201","25","k2ZwEjXuEyk0pl","31.46.254.4","-1","B","2022-06-16 13:50:19","","","1","6","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","6","1","1","2","2","616","666","532","914"
"274","25","DxWeF9rqIbTubH","82.195.190.210","-1","B","2022-06-16 14:16:35","","","1","5","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","5","1","1","1","2","933","614","733","681"
"313","25","rI9OVxRlTajmDS","149.29.29.202","-1","B","2022-06-17 07:57:21","","","1","5","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","5","1","2","1","1","488","476","399","266"
"337","25","IE2X2rUMjLbOp5","84.1.28.121","-1","B","2022-06-17 12:42:32","","","1","8","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","8","2","3","2","1","1002","2182","1181","782"
"338","25","IE2X2rUMjLbOp5","84.1.28.121","-1","B","2022-06-17 12:42:52","","","1","15","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","15","5","5","3","2","2269","3265","1631","1214"
"383","25","bk32rU5iOGuHWV","84.1.28.121","-1","B","2022-06-17 13:04:55","","","1","3","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","3","2","1","0","0","831","933","0","0"
"408","25","e28uMUSesm0oPO","109.158.97.191","-1","A","2022-06-17 13:58:24","","","1","4","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","4","1","1","1","1","305","460","428","361"
"451","25","0PpX0R5S2b3GB5","208.218.225.177","-1","A","2022-06-17 15:25:16","","","1","10","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","10","3","4","2","1","3032","3119","2582","946"
"464","25","fqX2QjgCkRvgzm","62.165.198.141","-1","A","2022-06-17 17:27:55","","","1","4","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","4","1","1","1","1","1442","960","1501","740"
"483","25","QNJzRFTETtYeje","90.146.163.221","-1","A","2022-06-18 05:27:07","","","1","4","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","4","1","1","1","1","1209","1942","1178","565"
"532","25","vrZ7Ymei1XGEG4","201.229.97.78","-1","A","2022-06-18 10:24:51","","","1","8","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","8","3","2","2","1","1470","1294","906","406"
"593","25","DCV8554pwCJUrT","87.211.132.161","-1","A","2022-06-18 10:30:04","","","1","7","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","7","2","2","1","2","784","717","717","883"
"636","25","YpuFRM3EsA9Tnh","80.114.132.224","-1","A","2022-06-18 14:51:29","","","1","5","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","5","1","1","2","1","833","2100","701","566"
"677","25","GHzsS5M4kn3qPb","5.38.195.169","-1","B","2022-06-18 15:39:10","","","1","15","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","15","5","2","2","6","1131","780","765","1137"
"727","25","ggF7vx9onwmf0U","80.99.250.94","-1","B","2022-06-19 05:06:52","","","1","46","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","46","16","15","8","7","8780","5897","2374","2522"
"776","25","OrRCcXsKE1We3k","80.114.167.25","-1","B","2022-06-19 05:19:40","","","1","4","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","4","1","1","1","1","302","320","389","499"
"828","25","YUbL3y8fjKvBq7","163.116.178.30","-1","A","2022-06-20 04:26:11","","","1","4","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","4","1","1","1","1","543","458","605","393"
"871","25","F2DHJDWKscjV7Y","147.161.169.84","-1","A","2022-06-20 07:24:35","","","1","17","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","17","5","5","5","2","3817","4548","1994","1701"
"926","25","lCKkPGBQXKgWlB","89.223.131.144","-1","B","2022-06-20 07:31:14","","","1","9","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","9","3","2","1","3","1170","939","450","972"
"969","25","5MLkC0tXMgK8o0","163.116.178.119","-1","B","2022-06-20 08:46:34","","","1","11","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","11","2","4","3","2","685","1185","1022","735"
