"id","expname","subject","ip","condnum","choice","submitted","event","roword","colord","evttype","boxname","boxin","boxtime","delay","counter","submit","test","optionOrder","attributeOrder","jsonfile","set","relcount","maxcount","f_box1","f_box2","f_box4","f_box3","t_box1","t_box2","t_box4","t_box3"
"23","10","B0fCn5WB3XbJ0g","211.248.192.15","-1","A","2022-06-14 10:51:20","mouseout","","","0_0","box1","4072","1990","0","1","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","0.16666666666667","6","1","0","0","0","1990","0","0","0"
"23","10","B0fCn5WB3XbJ0g","211.248.192.15","-1","A","2022-06-14 10:51:20","mouseout","","","0_0","box2","6145","1559","0","2","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","0.33333333333333","6","0","1","0","0","0","1559","0","0"
"23","10","B0fCn5WB3XbJ0g","211.248.192.15","-1","A","2022-06-14 10:51:20","mouseout","","","0_0","box4","8135","968","0","3","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","0.5","6","0","0","1","0","0","0","968","0"
"23","10","B0fCn5WB3XbJ0g","211.248.192.15","-1","A","2022-06-14 10:51:20","mouseout","","","0_0","box3","9136","700","0","4","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","0.66666666666667","6","0","0","0","1","0","0","0","700"
"23","10","B0fCn5WB3XbJ0g","211.248.192.15","-1","A","2022-06-14 10:51:20","mouseout","","","0_0","box1","9903","358","0","5","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","0.83333333333333","6","1","0","0","0","358","0","0","0"
"23","10","B0fCn5WB3XbJ0g","211.248.192.15","-1","A","2022-06-14 10:51:20","mouseout","","","0_0","box2","12420","474","0","6","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","1","6","0","1","0","0","0","474","0","0"
"69","10","W7xMZFsc8bgeoW","128.134.253.92","-1","A","2022-06-14 13:30:54","touchout","","","0_0","box2","1199","361","0","1","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","0.2","5","0","1","0","0","0","361","0","0"
"69","10","W7xMZFsc8bgeoW","128.134.253.92","-1","A","2022-06-14 13:30:54","touchout","","","0_0","box1","1790","410","0","2","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","0.4","5","1","0","0","0","410","0","0","0"
"69","10","W7xMZFsc8bgeoW","128.134.253.92","-1","A","2022-06-14 13:30:54","touchout","","","0_0","box4","3048","302","0","3","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","0.6","5","0","0","1","0","0","0","302","0"
"69","10","W7xMZFsc8bgeoW","128.134.253.92","-1","A","2022-06-14 13:30:54","touchout","","","0_0","box3","3489","337","0","4","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","0.8","5","0","0","0","1","0","0","0","337"
"69","10","W7xMZFsc8bgeoW","128.134.253.92","-1","A","2022-06-14 13:30:54","touchout","","","0_0","box3","4440","436","0","5","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","1","5","0","0","0","1","0","0","0","436"
"90","10","aw1XvvDjL0XznE","80.114.132.251","-1","A","2022-06-14 16:02:32","mouseout","","","0_0","box2","69","120","0","1","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","0.055555555555556","18","0","1","0","0","0","120","0","0"
