"id","expname","subject","ip","condnum","choice","submitted","roword","colord","div","counter","submit","test","optionOrder","attributeOrder","jsonfile","set","maxcount","f_box2","f_box1","f_box3","f_box4","t_box2","t_box1","t_box3","t_box4"
"25","23","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:51:57","","","1","7","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","7","2","1","2","2","1891","1574","717","850"
"64","23","W7xMZFsc8bgeoW","128.134.253.92","-1","A","2022-06-14 13:30:09","","","1","4","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","4","1","1","1","1","269","261","312","335"
"97","23","aw1XvvDjL0XznE","80.114.132.251","-1","B","2022-06-14 16:03:38","","","1","9","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","9","4","2","1","2","1727","1217","666","1284"
"148","23","NEpzOgnmyST18v","1.209.175.50","-1","B","2022-06-14 20:55:52","","","1","16","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","16","5","4","2","5","2223","1539","831","9417"
"196","23","phkg0GCvX8ceBC","62.77.201.30","-1","A","2022-06-15 07:24:36","","","1","8","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","8","2","1","2","3","939","350","732","1150"
"233","23","k2ZwEjXuEyk0pl","31.46.254.4","-1","B","2022-06-16 13:55:23","","","1","4","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","4","1","1","1","1","432","333","400","300"
"266","23","DxWeF9rqIbTubH","82.195.190.210","-1","B","2022-06-16 14:15:09","","","1","4","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","4","1","1","1","1","599","549","417","464"
"300","23","rI9OVxRlTajmDS","149.29.29.202","-1","B","2022-06-17 07:55:53","","","1","5","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","5","1","1","1","2","335","400","182","619"
"350","23","IE2X2rUMjLbOp5","84.1.28.121","-1","B","2022-06-17 12:50:47","","","1","8","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","8","4","1","1","2","1814","466","466","536"
"360","23","bk32rU5iOGuHWV","84.1.28.121","-1","B","2022-06-17 13:01:39","","","1","4","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","4","1","1","1","1","816","867","749","433"
"400","23","e28uMUSesm0oPO","109.158.97.191","-1","A","2022-06-17 13:57:25","","","1","5","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","5","1","2","1","1","409","1572","1243","778"
"444","23","0PpX0R5S2b3GB5","208.218.225.177","-1","A","2022-06-17 15:21:51","","","1","12","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","12","3","3","4","2","6085","8459","9168","6699"
"461","23","HcGyjdzUWMPBpZ","81.154.132.69","-1","B","2022-06-17 16:52:10","","","1","14","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","14","4","2","3","5","9800","2765","3554","4666"
"512","23","QNJzRFTETtYeje","90.146.163.221","-1","A","2022-06-18 05:33:12","","","1","5","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","5","1","0","1","3","463","0","463","1039"
"571","23","DCV8554pwCJUrT","87.211.132.161","-1","A","2022-06-18 10:28:23","","","1","9","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","9","2","2","2","3","818","817","883","1198"
"582","23","vrZ7Ymei1XGEG4","201.229.97.78","-1","A","2022-06-18 10:29:10","","","1","6","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","6","2","2","1","1","489","670","256","257"
"618","23","YpuFRM3EsA9Tnh","80.114.132.224","-1","B","2022-06-18 14:49:51","","","1","4","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","4","1","1","1","1","517","368","417","783"
