"id","expname","subject","ip","condnum","choice","submitted","event","roword","colord","evttype","boxname","boxin","boxtime","delay","counter","submit","test","optionOrder","attributeOrder","jsonfile","set","relcount","maxcount","f_box2","f_box1","f_box3","f_box4","t_box2","t_box1","t_box3","t_box4"
"26","37","B0fCn5WB3XbJ0g","211.248.192.15","-1","A","2022-06-14 10:52:08","mouseout","","","0_0","box2","1895","1141","0","1","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","0.25","4","1","0","0","0","1141","0","0","0"
"26","37","B0fCn5WB3XbJ0g","211.248.192.15","-1","A","2022-06-14 10:52:08","mouseout","","","0_0","box1","3086","1591","0","2","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","0.5","4","0","1","0","0","0","1591","0","0"
"26","37","B0fCn5WB3XbJ0g","211.248.192.15","-1","A","2022-06-14 10:52:08","mouseout","","","0_0","box3","4819","483","0","3","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","0.75","4","0","0","1","0","0","0","483","0"
"26","37","B0fCn5WB3XbJ0g","211.248.192.15","-1","A","2022-06-14 10:52:08","mouseout","","","0_0","box4","5336","774","0","4","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","1","4","0","0","0","1","0","0","0","774"
"41","37","W7xMZFsc8bgeoW","128.134.253.92","-1","A","2022-06-14 13:26:13","touchout","","","0_0","box1","1499","639","0","1","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","0.14285714285714","7","0","1","0","0","0","639","0","0"
"41","37","W7xMZFsc8bgeoW","128.134.253.92","-1","A","2022-06-14 13:26:13","touchout","","","0_0","box2","2435","510","0","2","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","0.28571428571429","7","1","0","0","0","510","0","0","0"
"41","37","W7xMZFsc8bgeoW","128.134.253.92","-1","A","2022-06-14 13:26:13","touchout","","","0_0","box3","3836","518","0","3","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","0.42857142857143","7","0","0","1","0","0","0","518","0"
"41","37","W7xMZFsc8bgeoW","128.134.253.92","-1","A","2022-06-14 13:26:13","touchout","","","0_0","box4","5428","727","0","4","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","0.57142857142857","7","0","0","0","1","0","0","0","727"
"41","37","W7xMZFsc8bgeoW","128.134.253.92","-1","A","2022-06-14 13:26:13","touchout","","","0_0","box2","6369","604","0","5","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","0.71428571428571","7","1","0","0","0","604","0","0","0"
"41","37","W7xMZFsc8bgeoW","128.134.253.92","-1","A","2022-06-14 13:26:13","touchout","","","0_0","box1","7212","636","0","6","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","0.85714285714286","7","0","1","0","0","0","636","0","0"
"41","37","W7xMZFsc8bgeoW","128.134.253.92","-1","A","2022-06-14 13:26:13","touchout","","","0_0","box3","8070","419","0","7","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","1","7","0","0","1","0","0","0","419","0"
"116","37","aw1XvvDjL0XznE","80.114.132.251","-1","A","2022-06-14 16:06:12","mouseout","","","0_0","box2","1363","700","0","1","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","0.14285714285714","7","1","0","0","0","700","0","0","0"
"116","37","aw1XvvDjL0XznE","80.114.132.251","-1","A","2022-06-14 16:06:12","mouseout","","","0_0","box1","2097","467","0","2","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","0.28571428571429","7","0","1","0","0","0","467","0","0"
"116","37","aw1XvvDjL0XznE","80.114.132.251","-1","A","2022-06-14 16:06:12","mouseout","","","0_0","box4","2664","499","0","3","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","0.42857142857143","7","0","0","0","1","0","0","0","499"
"116","37","aw1XvvDjL0XznE","80.114.132.251","-1","A","2022-06-14 16:06:12","mouseout","","","0_0","box3","3180","383","0","4","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","0.57142857142857","7","0","0","1","0","0","0","383","0"
"116","37","aw1XvvDjL0XznE","80.114.132.251","-1","A","2022-06-14 16:06:12","mouseout","","","0_0","box2","3613","417","0","5","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","0.71428571428571","7","1","0","0","0","417","0","0","0"
"116","37","aw1XvvDjL0XznE","80.114.132.251","-1","A","2022-06-14 16:06:12","mouseout","","","0_0","box1","4046","484","0","6","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","0.85714285714286","7","0","1","0","0","0","484","0","0"
"116","37","aw1XvvDjL0XznE","80.114.132.251","-1","A","2022-06-14 16:06:12","mouseout","","","0_0","box3","4614","1233","0","7","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","1","7","0","0","1","0","0","0","1233","0"
"159","37","NEpzOgnmyST18v","1.209.175.50","-1","A","2022-06-14 21:00:56","mouseout","","","0_0","box1","878","753","0","1","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","0.0625","16","0","1","0","0","0","753","0","0"
"159","37","NEpzOgnmyST18v","1.209.175.50","-1","A","2022-06-14 21:00:56","mouseout","","","0_0","box3","1834","538","0","2","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","0.125","16","0","0","1","0","0","0","538","0"
