"id","expname","subject","ip","condnum","choice","submitted","roword","colord","div","counter","submit","test","optionOrder","attributeOrder","jsonfile","set","maxcount","f_box2","f_box1","f_box4","f_box3","t_box2","t_box1","t_box4","t_box3"
"9","32","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:46:26","","","1","6","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","6","2","1","2","1","2107","2583","867","617"
"40","32","W7xMZFsc8bgeoW","128.134.253.92","-1","A","2022-06-14 13:25:57","","","1","8","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","8","2","3","1","2","1823","4805","828","831"
"93","32","aw1XvvDjL0XznE","80.114.132.251","-1","B","2022-06-14 16:02:59","","","1","6","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","6","2","2","1","1","1197","1182","466","568"
"120","32","NEpzOgnmyST18v","1.209.175.50","-1","B","2022-06-14 20:46:39","","","1","12","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","12","5","2","3","2","6568","2237","3538","1474"
"183","32","phkg0GCvX8ceBC","62.77.201.30","-1","A","2022-06-15 07:22:06","","","1","12","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","12","3","3","2","4","1402","1648","1299","1449"
"221","32","k2ZwEjXuEyk0pl","31.46.254.4","-1","B","2022-06-16 13:52:59","","","1","5","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","5","2","1","1","1","616","482","298","348"
"267","32","DxWeF9rqIbTubH","82.195.190.210","-1","B","2022-06-16 14:15:25","","","1","14","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","14","4","3","5","2","3396","2482","3561","1118"
"305","32","rI9OVxRlTajmDS","149.29.29.202","-1","B","2022-06-17 07:56:23","","","1","4","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","4","1","1","1","1","519","490","316","313"
"363","32","bk32rU5iOGuHWV","84.1.28.121","-1","B","2022-06-17 13:02:04","","","1","4","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","4","1","1","1","1","733","499","433","415"
"422","32","e28uMUSesm0oPO","109.158.97.191","-1","A","2022-06-17 13:59:52","","","1","4","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","4","1","1","1","1","802","426","345","343"
"440","32","0PpX0R5S2b3GB5","208.218.225.177","-1","B","2022-06-17 15:19:44","","","1","6","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","6","2","2","1","1","2706","8763","1240","2901"
"478","32","fqX2QjgCkRvgzm","62.165.198.141","-1","A","2022-06-17 17:30:53","","","1","4","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","4","1","1","1","1","821","757","440","239"
"502","32","QNJzRFTETtYeje","90.146.163.221","-1","A","2022-06-18 05:31:28","","","1","8","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","8","2","1","4","1","773","629","1508","621"
