"id","expname","subject","ip","condnum","choice","submitted","roword","colord","div","counter","submit","test","optionOrder","attributeOrder","jsonfile","set","maxcount","f_box1","f_box2","f_box3","f_box4","t_box1","t_box2","t_box3","t_box4"
"32","3","B0fCn5WB3XbJ0g","211.248.192.15","-1","B","2022-06-14 10:54:10","","","1","13","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","13","4","4","2","3","4146","5921","883","1349"
"74","3","W7xMZFsc8bgeoW","128.134.253.92","-1","A","2022-06-14 13:31:38","","","1","7","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","7","2","2","2","1","546","556","379","286"
"81","3","aw1XvvDjL0XznE","80.114.132.251","-1","A","2022-06-14 16:00:41","","","1","11","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","11","3","2","3","3","1567","967","1319","1176"
"146","3","NEpzOgnmyST18v","1.209.175.50","-1","B","2022-06-14 20:55:22","","","1","10","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","10","3","3","1","3","828","1338","503","1651"
"190","3","phkg0GCvX8ceBC","62.77.201.30","-1","A","2022-06-15 07:23:30","","","1","6","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","6","2","2","1","1","599","1099","599","399"
"235","3","k2ZwEjXuEyk0pl","31.46.254.4","-1","B","2022-06-16 13:55:36","","","1","4","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","4","1","1","1","1","450","467","251","334"
"255","3","DxWeF9rqIbTubH","82.195.190.210","-1","B","2022-06-16 14:13:41","","","1","6","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","6","1","2","1","2","916","2554","266","958"
"296","3","rI9OVxRlTajmDS","149.29.29.202","-1","B","2022-06-17 07:55:25","","","1","3","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","3","1","1","1","0","427","833","286","0"
"331","3","IE2X2rUMjLbOp5","84.1.28.121","-1","B","2022-06-17 12:38:58","","","1","4","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","4","1","1","1","1","764","733","732","567"
"398","3","bk32rU5iOGuHWV","84.1.28.121","-1","B","2022-06-17 13:07:04","","","1","3","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","3","1","1","0","1","479","499","0","534"
"401","3","e28uMUSesm0oPO","109.158.97.191","-1","A","2022-06-17 13:57:37","","","1","4","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","4","1","1","1","1","876","1017","809","794"
