"id","expname","subject","ip","condnum","choice","submitted","roword","colord","div","counter","submit","test","optionOrder","attributeOrder","jsonfile","set","maxcount","f_box1","f_box2","f_box3","f_box4","t_box1","t_box2","t_box3","t_box4"
"19","1","B0fCn5WB3XbJ0g","211.248.192.15","-1","A","2022-06-14 10:50:21","","","1","8","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","8","2","2","3","1","2890","1750","1149","625"
"65","1","W7xMZFsc8bgeoW","128.134.253.92","-1","A","2022-06-14 13:30:18","","","1","6","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","6","2","2","1","1","539","468","345","286"
"100","1","aw1XvvDjL0XznE","80.114.132.251","-1","A","2022-06-14 16:04:06","","","1","6","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","6","2","2","1","1","814","1016","433","467"
"149","1","NEpzOgnmyST18v","1.209.175.50","-1","A","2022-06-14 20:56:09","","","1","11","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","11","4","3","2","2","1864","1138","940","969"
"181","1","phkg0GCvX8ceBC","62.77.201.30","-1","A","2022-06-15 07:21:40","","","1","9","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","9","4","3","1","1","1799","1949","734","549"
"223","1","k2ZwEjXuEyk0pl","31.46.254.4","-1","B","2022-06-16 13:53:13","","","1","5","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","5","1","1","2","1","382","131","599","465"
"245","1","DxWeF9rqIbTubH","82.195.190.210","-1","B","2022-06-16 14:11:50","","","1","4","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","4","1","1","1","1","533","1132","879","465"
"292","1","rI9OVxRlTajmDS","149.29.29.202","-1","B","2022-06-17 07:54:56","","","1","5","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","5","1","2","1","1","602","716","451","534"
"327","1","IE2X2rUMjLbOp5","84.1.28.121","-1","B","2022-06-17 12:36:23","","","1","13","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","13","3","4","3","3","1387","2901","1253","1530"
"385","1","bk32rU5iOGuHWV","84.1.28.121","-1","B","2022-06-17 13:05:12","","","1","5","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","5","2","2","0","1","1149","1798","0","350"
"430","1","e28uMUSesm0oPO","109.158.97.191","-1","A","2022-06-17 14:00:35","","","1","4","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","4","1","1","1","1","457","308","394","294"
"466","1","fqX2QjgCkRvgzm","62.165.198.141","-1","A","2022-06-17 17:28:23","","","1","4","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","4","1","1","1","1","621","968","519","621"
"554","1","DCV8554pwCJUrT","87.211.132.161","-1","A","2022-06-18 10:27:12","","","1","6","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","6","2","1","2","1","767","350","754","1050"
"588","1","vrZ7Ymei1XGEG4","201.229.97.78","-1","A","2022-06-18 10:29:31","","","1","4","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","4","1","1","1","1","333","370","129","281"
"629","1","YpuFRM3EsA9Tnh","80.114.132.224","-1","A","2022-06-18 14:50:45","","","1","4","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","4","1","1","1","1","534","299","716","383"
"679","1","GHzsS5M4kn3qPb","5.38.195.169","-1","A","2022-06-18 15:39:24","","","1","7","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","7","2","3","1","1","1011","881","599","597"
"749","1","ggF7vx9onwmf0U","80.99.250.94","-1","A","2022-06-19 05:15:01","","","1","8","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","8","3","3","1","1","1079","1284","188","365"
"795","1","OrRCcXsKE1We3k","80.114.167.25","-1","B","2022-06-19 05:21:24","","","1","2","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","2","1","0","0","1","414","0","0","428"
