"id","expname","subject","ip","condnum","choice","submitted","roword","colord","div","counter","submit","test","optionOrder","attributeOrder","jsonfile","set","maxcount","f_box1","f_box2","f_box4","f_box3","t_box1","t_box2","t_box4","t_box3"
"2395","6","vKbnaDd5Q61GWj","80.114.167.172","-1","A","2022-07-05 13:59:01","","","1","6","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","6","2","2","1","1","850","776","534","522"
"2455","6","W89dVaLbYE37J7","89.102.212.73","-1","B","2022-07-06 08:36:44","","","1","4","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","4","1","1","1","1","1048","566","800","384"
"2462","6","zUAG03SmaLXG1t","94.21.159.200","-1","B","2022-07-06 09:41:20","","","1","6","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","6","1","2","2","1","365","787","603","530"
"2500","6","6Em6XxBc3RbmMK","80.114.132.228","-1","A","2022-07-06 11:43:29","","","1","10","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","10","3","2","2","3","1532","1132","1148","2348"
"2558","6","PXJbmYaPWopZKV","80.235.122.212","-1","A","2022-07-06 12:06:33","","","1","6","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","6","2","1","1","2","1457","303","238","439"
"2609","6","K5U0VFZmLmmi3c","92.98.171.90","-1","A","2022-07-06 13:04:59","","","1","10","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","10","2","3","2","3","835","1500","746","947"
"2648","6","hyYN9N5hDXmkOk","80.114.171.13","-1","A","2022-07-06 13:21:30","","","1","4","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","4","1","1","1","1","484","459","527","388"
"2659","6","s5K9wE0mdmQjB0","80.114.134.57","-1","A","2022-07-06 16:58:23","","","1","18","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","18","6","4","3","5","3264","2473","1430","2244"
"2706","6","8stFM91SKprFDq","92.67.137.82","-1","A","2022-07-08 07:00:11","","","1","4","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","4","1","1","1","1","149","251","399","617"
"2769","6","WmIiqL4gRB6usl","69.135.54.106","-1","B","2022-07-08 13:43:01","","","1","5","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","5","2","1","1","1","338","250","383","267"
"2818","6","prS3FFgrkxCUCO","217.117.227.97","-1","A","2022-07-11 10:43:06","","","1","7","confirm","2","A-B","Amount/Time","mir.thesis.json","dynSet","7","3","2","0","2","959","752","0","906"
"2829","6","NqcUv4CuLRIoUa","176.63.15.126","-1","A","2022-07-12 01:04:52","","","1","10","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","10","3","2","2","3","1131","1161","1142","667"
"2880","6","0tApATjYCmg5wS","84.241.193.144","-1","A","2022-07-12 03:06:16","","","1","11","confirm","2","B-A","Amount/Time","mir.thesis.json","dynSet","11","3","3","3","2","1699","1649","981","679"
